date,1. open,2. high,3. low,4. close,5. volume,date_time
2023-10-31 17:15:00,123.888,124.08,123.7,123.722,323469.0,2023-10-31 17:15:00
2023-10-31 17:00:00,123.76,123.92,123.66,123.89,6389.0,2023-10-31 17:00:00
2023-10-31 16:45:00,123.84,124.08,123.68,123.76,11454.0,2023-10-31 16:45:00
2023-10-31 16:30:00,123.78,124.08,123.78,123.8,4604.0,2023-10-31 16:30:00
2023-10-31 16:15:00,124.08,124.08,123.75,123.75,10129.0,2023-10-31 16:15:00
2023-10-31 16:00:00,124.03,124.09,123.83,124.08,6768698.0,2023-10-31 16:00:00
2023-10-31 15:45:00,124.05,124.22,123.83,124.03,2201421.0,2023-10-31 15:45:00
2023-10-31 15:30:00,123.93,124.075,123.83,124.05,800367.0,2023-10-31 15:30:00
2023-10-31 15:15:00,123.92,124.005,123.81,123.93,610119.0,2023-10-31 15:15:00
2023-10-31 15:00:00,123.78,123.99,123.74,123.92,532934.0,2023-10-31 15:00:00
2023-10-31 14:45:00,123.61,123.87,123.6,123.775,467847.0,2023-10-31 14:45:00
2023-10-31 14:30:00,123.38,123.65,123.31,123.615,529677.0,2023-10-31 14:30:00
2023-10-31 14:15:00,123.61,123.68,123.36,123.38,570499.0,2023-10-31 14:15:00
2023-10-31 14:00:00,123.54,123.805,123.53,123.61,664930.0,2023-10-31 14:00:00
2023-10-31 13:45:00,123.465,123.66,123.41,123.54,529543.0,2023-10-31 13:45:00
2023-10-31 13:30:00,123.23,123.54,123.155,123.465,739221.0,2023-10-31 13:30:00
2023-10-31 13:15:00,123.23,123.33,123.12,123.23,359704.0,2023-10-31 13:15:00
2023-10-31 13:00:00,123.265,123.325,123.01,123.22,498129.0,2023-10-31 13:00:00
2023-10-31 12:45:00,123.23,123.33,123.06,123.26,449315.0,2023-10-31 12:45:00
2023-10-31 12:30:00,123.01,123.33,122.85,123.24,525981.0,2023-10-31 12:30:00
2023-10-31 12:15:00,122.8,123.06,122.685,123.02,566052.0,2023-10-31 12:15:00
2023-10-31 12:00:00,123.25,123.25,122.78,122.78,740284.0,2023-10-31 12:00:00
2023-10-31 11:45:00,123.25,123.34,123.015,123.25,600700.0,2023-10-31 11:45:00
2023-10-31 11:30:00,123.134,123.47,123.066,123.25,695070.0,2023-10-31 11:30:00
2023-10-31 11:15:00,123.59,123.85,123.11,123.14,917400.0,2023-10-31 11:15:00
2023-10-31 11:00:00,123.42,123.665,123.33,123.56,826225.0,2023-10-31 11:00:00
2023-10-31 10:45:00,123.77,123.85,123.31,123.41,1085258.0,2023-10-31 10:45:00
2023-10-31 10:30:00,124.08,124.12,123.3,123.78,1171492.0,2023-10-31 10:30:00
2023-10-31 10:15:00,124.54,124.64,123.98,124.07,861465.0,2023-10-31 10:15:00
2023-10-31 10:00:00,123.85,124.94,123.83,124.53,1385792.0,2023-10-31 10:00:00
2023-10-31 09:45:00,123.865,124.225,123.6,123.87,926174.0,2023-10-31 09:45:00
2023-10-31 09:30:00,125.06,125.37,123.85,123.87,2406259.0,2023-10-31 09:30:00
2023-10-31 09:15:00,124.74,125.2,124.558,125.06,58728.0,2023-10-31 09:15:00
2023-10-31 09:00:00,124.649,124.98,124.649,124.74,12539.0,2023-10-31 09:00:00
2023-10-31 08:45:00,124.6,124.83,122.92,124.63,6679.0,2023-10-31 08:45:00
2023-10-31 08:30:00,124.91,124.91,124.55,124.55,15959.0,2023-10-31 08:30:00
2023-10-31 08:15:00,124.46,124.98,124.46,124.96,6072.0,2023-10-31 08:15:00
2023-10-31 08:00:00,124.77,124.99,123.8,124.89,21105.0,2023-10-31 08:00:00
2023-10-31 07:45:00,124.51,124.8,124.51,124.68,5631.0,2023-10-31 07:45:00
2023-10-31 07:30:00,124.75,124.85,124.5,124.5,5170.0,2023-10-31 07:30:00
2023-10-31 07:15:00,124.88,124.95,124.71,124.72,5782.0,2023-10-31 07:15:00
2023-10-31 07:00:00,124.64,124.93,124.57,124.88,4920.0,2023-10-31 07:00:00
